num_jour,date,discipline,num_session,debut_epreuve,fin_epreuve,lieu_epreuve,nom_epreuve,NOM,Geo Point,SITES OLYMPIQUES PARALYMPIQUES,SPORTS,latitude,longitude,capacite
11,Mardi 6 Août,"CANOË, COURSE EN LIGNE",CSP04,15:30,17:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Canoë biplace (C2) 500 m - femmes, demi-finales Kayak biplace (K2) 500 m - femmes, demi-finales Kayak biplace (K2) 500 m - hommes, demi-finales Canoë monoplace (C1) 1 000 m - hommes, demi-finales Canoë biplace (C2) 500 m - femmes, finale B Kayak biplace (K2) 500 m - femmes, finale B Kayak biplace (K2) 500 m - hommes, finale B Canoë monoplace (C1) 1 000 m - hommes,finale B",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,24000.0
11,Mardi 6 Août,"CANOË, COURSE EN LIGNE",CSP05,15:30,17:30,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak monoplace (K1) 500 m - femmes, demi-finales Kayak monoplace (K1) 1 000 m - hommes, demi-finales Canoë monoplace (C1) 200 m - femmes, demi-finales Kayak monoplace (K1) 500 m - femmes, finale C Kayak monoplace (K1) 500 m - femmes, finale B Kayak monoplace (K1) 1 000 m - hommes, finale B Canoë monoplace (C1) 200 m - femmes, finale B #C1-INTERNAL",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,24000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,Début,15:30,20:20,Vélodrome National de Saint-Quentin-en-Yvelines,"Vitesse par équipes - femmes, qualifications Poursuite équipes - hommes, qualifications Vitesse par équipes - femmes, 1er tour Vitesse par équipes - hommes, qualifications Vitesse par équipes - femmes, finales",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,CTR02,17:30,20:30,Vélodrome National de Saint-Quentin-en-Yvelines,"Poursuite par équipes - femmes, qualifications Vitesse par équipes - hommes, 1er tour Poursuite par équipes - hommes, 1er tour Vitesse par équipes - hommes, finales",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,CTR03,12:45,15:45,Vélodrome National de Saint-Quentin-en-Yvelines,"Vitesse - hommes, qualifications Keirin - femmes, 1er tour Poursuite par équipes - femmes, 1er tour Vitesse - hommes, 32e finale Keirin - femmes, repêchages Vitesse - hommes, 32e finale - repêchages",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,CTR03,17:30,20:25,Vélodrome National de Saint-Quentin-en-Yvelines,"Vitesse - hommes, 16e finale Poursuite par équipes - hommes, finales Vitesse - hommes, 16e finale - repêchages Poursuite par équipes - femmes, finales Vitesse - hommes, 8e finale Vitesse - hommes, 8e finale - repêchages",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,CTR05,17:00,20:25,Vélodrome National de Saint-Quentin-en-Yvelines,"Omnium - hommes, scratch 1/4 Keirin - femmes, 1/4 finale Omnium - hommes, course tempo 2/4 Vitesse - hommes, 1/4 finale Keirin - femmes, 1/2 finales Omnium - hommes, course à l'élimination Keirin - femmes, finale 7-12 Vitesse - hommes, places 5-8",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,CTR06,14:00,16:00,Vélodrome National de Saint-Quentin-en-Yvelines,"Vitesse - femmes, qualifications Vitesse - hommes, 1/2 finales Vitesse - femmes, 32e finale Vitesse - femmes, 32e finale - repêchages",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,CTR06,18:00,20:15,Vélodrome National de Saint-Quentin-en-Yvelines,"Madison - femmes, finale Vitesse - femmes, 16e finale Vitesse - hommes, finales Vitesse - femmes, 16e finale - repêchages",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,CTR08,17:00,20:20,Vélodrome National de Saint-Quentin-en-Yvelines,"Vitesse - femmes, 8e finale Keirin - hommes, 1er tour Vitesse - femmes, 8e finale - repêchages Madison - hommes, finale Vitesse - femmes, 1/4 finale Keirin - hommes, repêchages",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,CYCLISME SUR PISTE,CTR09,11:00,14:40,Vélodrome National de Saint-Quentin-en-Yvelines,"Omnium - femmes, scratch 1/4 Vitesse - femmes, 1/2 finales Keirin - hommes, 1/4 finale Omnium - femmes, course tempo 2/4 Vitesse - femmes, places 5-8 Keirin - hommes, 1/2 finales Omnium - femmes, course à l'élimination Keirin - hommes, finale 7-12",Vélodrome National de Saint-Quentin-en-Yvelines,"48.788046, 2.034987","Site olympique,Site paralympique","Cyclisme sur piste,Para cyclisme sur piste",48.788046,2.034987,6000.0
11,Mardi 6 Août,ESCRIME,FEN01,10:00,16:40,Grand Palais,"Épée individuelle - femmes, tableau de 64 Sabre individuel - hommes, tableau de 64 Épée individuelle - femmes, tableau de 32 Sabre individuel - hommes, tableau de 32 Épée individuelle - femmes, tableau de 16 Sabre individuel - hommes, tableau de 16 Épée individuelle - femmes, 1/4 finale Sabre individuel - hommes, 1/4 finale",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN01,19:00,22:50,Grand Palais,"Épée individuelle - femmes, 1/2 finales Sabre individuel - hommes, 1/2 finales Épée individuelle - femmes, match de bronze Sabre individuel - hommes, match bronze Épée individuelle - femmes, match d'or Sabre individuel - hommes, match d'or",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN03,09:30,16:50,Grand Palais,"Fleuret individuel - femmes, tableau de 64 Épée individuelle - hommes, tableau de 64 Fleuret individuel - femmes, tableau de 32 Épée individuelle - hommes, tableau de 32 Fleuret individuel - femmes, tableau de 16 Épée individuelle - hommes, tableau de 16 Fleuret individuel - femmes, 1/4 finale Épée individuelle - hommes, 1/4 finale",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN03,19:00,23:10,Grand Palais,"Fleuret individuel - femmes, 1/2 finales Épée individuelle - hommes, 1/2 finales Fleuret individuel- femmes, match bronze Épée individuelle - hommes, match bronze Fleuret individuel - femmes, match d'or Épée individuelle - hommes, match d'or",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN05,09:30,16:50,Grand Palais,"Sabre individuel - femmes, tableau de 64 Fleuret individuel - hommes, tableau de 64 Sabre individuel - femmes, tableau de 32 Fleuret individuel - hommes, tableau de 32 Sabre individuel - femmes, tableau de 16 Fleuret individuel - hommes, tableau de 16 Sabre individuel - femmes, 1/4 finale Fleuret individuel - hommes, 1/4 finale",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN05,19:00,23:10,Grand Palais,"Sabre individuel - femmes, 1/2 finales Fleuret individuel - hommes, 1/2 finales Sabre individuel - femmes, match bronze Fleuret individuel - hommes, match bronze",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN07,12:00,17:30,Grand Palais,"Épée par équipes - femmes, tableau de 16 Épée par équipes - femmes, 1/4 finale Épée par équipes - femmes, classement 5-8 Épée par équipes - femmes, 1/2 finales Épée par équipes - femmes, placement 5-6, 7-8",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN07,19:30,21:40,Grand Palais,"Épée par équipes - femmes, match bronze Épée par équipes - femmes, match d'or",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,Début,19:30,17:30,Grand Palais,"Sabre par équipes - hommes, tableau de 16 Sabre par équipes - hommes, 1/4 finale Sabre par équipes - hommes, classement 5-8 Sabre par équipes - hommes, 1/2 finales Sabre par équipes - hommes, placement 5-6, 7-8 Début : 19:30 Fin : 21:40 Grand Palais Nom de l'épreuve/des épreuves Sabre par équipes - hommes, match bronze Sabre par équipes - hommes, match d'or",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN11,10:00,17:10,Grand Palais,"Fleuret par équipes - femmes, tableau de 16 Fleuret par équipes - femmes, 1/4 finale Fleuret par équipes - femmes, classement 5-8 Fleuret par équipes - femmes, 1/2 finales Fleuret par équipes - femmes, placement 5-6, 7-8",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN11,19:10,22:00,Grand Palais,"Fleuret par équipes - femmes, match bronze Fleuret par équipes - femmes, match d'or",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN13,12:00,17:30,Grand Palais,"Épée par équipes - hommes, tableau de 16 Épée par équipes - hommes, 1/4 finale Épée par équipes - hommes, classement 5-8 Épée par équipes - hommes, 1/2 finales Épée par équipes - hommes, placement 5-6, 7-8",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN13,19:30,21:40,Grand Palais,"Épée par équipes - hommes, match bronze Épée par équipes - hommes, match d'or",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,Début,19:30,17:00,Grand Palais,"Sabre par équipes - femmes, tableau de 16 Sabre par équipes - femmes, 1/4 finale Sabre par équipes - femmes, classement 5-8 Sabre par équipes - femmes, 1/2 finales Sabre par équipes - femmes, placement 5-6, 7-8 Début : 19:00 Fin : 21:10 Grand Palais Nom de l'épreuve/des épreuves Sabre par équipes - femmes, match bronze Sabre par équipes - femmes, match d'or",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN17,10:00,17:10,Grand Palais,"Fleuret par équipes - hommes, tableau de 16 Fleuret par équipes - hommes, 1/4 finale Fleuret par équipes - hommes, classement 5-8 Fleuret par équipes - hommes, 1/2 finales Fleuret par équipes - hommes, placement 5-6, 7-8",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
11,Mardi 6 Août,ESCRIME,FEN17,19:10,22:00,Grand Palais,"Fleuret par équipes - hommes, match bronze Fleuret par équipes - hommes, match d'or",Grand Palais,"48.866041, 2.312406","Site olympique,Site paralympique","Escrime,Escrime fauteuil,Taekwondo,Para taekwondo",48.866041,2.312406,8000.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL01,15:00,17:00,Parc des Princes,"Hommes, éliminatoires (1 match) - groupe C (C1vsC2) Match N°5",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL01,21:00,23:00,Parc des Princes,"Hommes, éliminatoires (1 match) - groupe D (D3vsD4) Match N°7",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL15,19:00,21:00,Parc des Princes,"Hommes, éliminatoires (1 match) - groupe D (D2vsD4) Match N°15",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL23,17:00,19:00,Parc des Princes,"Femmes, éliminatoires (1 match) - groupe C (C4vsC2) Match N°12",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL29,15:00,17:00,Parc des Princes,"Hommes, éliminatoires (1 match) - groupe C (C4vsC1) Match N°21",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL29,21:00,23:00,Parc des Princes,"Hommes, éliminatoires (1 match) - groupe D (D2vsD3) Match N°24",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL43,15:00,18:00,Parc des Princes,"Hommes, quart de finale (1Bvs2A) Match N°26",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL47,15:00,18:00,Parc des Princes,"Femmes, quart de finale (1Bvs2C) Match N°20",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL56,18:00,21:30,Parc des Princes,"Hommes, médaille d'or (V29vsV30) Match N°32",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,FOOTBALL,FBL58,17:00,20:30,Parc des Princes,"Femmes, médaille d'or (V23vs24) Match N°26",Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GOLF,GLF01,17:00,20:30,Parc des Princes,Stroke Play individuel - hommes 1er tour,Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GOLF,GLF02,17:00,20:30,Parc des Princes,Stroke Play individuel - hommes 2e tour,Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GOLF,GLF03,17:00,20:30,Parc des Princes,Stroke Play individuel - hommes 3e tour,Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GOLF,GLF04,17:00,20:30,Parc des Princes,Stroke Play individuel - hommes 4e tour,Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GOLF,GLF05,17:00,20:30,Parc des Princes,Stroke Play individuel - femmes 1er tour,Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GOLF,GLF06,17:00,20:30,Parc des Princes,Stroke Play individuel - femmes 2e tour,Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GOLF,GLF07,17:00,20:30,Parc des Princes,Stroke Play individuel - femmes 3e tour,Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GOLF,GLF08,17:00,20:30,Parc des Princes,Stroke Play individuel - femmes 4e tour,Parc des Princes,"48.841319, 2.253076",Site olympique,Football,48.841319,2.253076,48583.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR01,11:00,13:30,Arena Bercy,Qualification - hommes,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR01,15:30,18:00,Arena Bercy,Qualification - hommes,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR01,20:00,22:30,Arena Bercy,Qualification - hommes,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR04,09:30,13:20,Arena Bercy,Qualification - femmes,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR04,14:50,16:30,Arena Bercy,Qualification - femmes,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR04,18:00,19:40,Arena Bercy,Qualification - femmes,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR04,21:10,22:50,Arena Bercy,Qualification - femmes,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR08,17:30,20:30,Arena Bercy,,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR09,18:15,20:30,Arena Bercy,,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR10,17:30,20:15,Arena Bercy,,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR11,18:15,20:25,Arena Bercy,,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR12,15:30,18:00,Arena Bercy,,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR13,15:00,17:25,Arena Bercy,,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE ARTISTIQUE,GAR14,12:00,15:15,Arena Bercy,,Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE TRAMPOLINE,GTR01,12:00,14:30,Arena Bercy,"Femmes, qualifications Femmes, finale",Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,GYMNASTIQUE TRAMPOLINE,GTR01,18:00,20:30,Arena Bercy,"Hommes, qualifications Hommes, finale",Arena Bercy,"48.838649, 2.378496","Site olympique,Site paralympique","Basketball,Basket fauteuil,Gymnastique artistique,trampoline",48.838649,2.378496,20300.0
-2,Mercredi 24 Juillet,Gymnastique rythmique,GRY01,10:00,13:00,Porte de La Chapelle Arena,"Concours multiple individuel, qualifications - rotation 1 sur 2",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
-2,Mercredi 24 Juillet,Gymnastique rythmique,GRY01,15:00,18:00,Porte de La Chapelle Arena,"Concours multiple individuel, qualifications - rotation 2 sur 2",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
-2,Mercredi 24 Juillet,Gymnastique rythmique,GRY03,10:00,12:30,Porte de La Chapelle Arena,"Concours général des ensembles, qualifications",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
-2,Mercredi 24 Juillet,Gymnastique rythmique,GRY03,14:30,17:00,Porte de La Chapelle Arena,"Concours multiple individuel, finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
-2,Mercredi 24 Juillet,Gymnastique rythmique,GRY05,14:00,15:45,Porte de La Chapelle Arena,"Concours général des ensembles, finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,Début,14:00,17:30,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,Début,19:30,22:00,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,WLF03,15:00,17:30,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,WLF03,19:30,22:00,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,WLF05,15:00,17:30,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,WLF05,19:30,22:00,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,WLF07,11:30,14:00,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,WLF07,16:00,18:30,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,WLF07,20:30,23:00,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-2,Mercredi 24 Juillet,HALTEROPHILIE,WLF10,11:30,14:00,Arena Paris Sud 6,,Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-1,Jeudi 25 Juillet,HANDBALL,HBL01,09:00,12:30,Arena Paris Sud 6,"Femmes, tour préliminaire (2 matchs)",Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-1,Jeudi 25 Juillet,HANDBALL,HBL01,14:00,17:30,Arena Paris Sud 6,"Femmes, tour préliminaire (2 matchs)",Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
-1,Jeudi 25 Juillet,HANDBALL,HBL01,19:00,22:30,Arena Paris Sud 6,"Femmes, tour préliminaire (2 matchs)",Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
1,Samedi 27 Juillet,HANDBALL,HBL04,09:00,12:30,Arena Paris Sud 6,"Hommes, tour préliminaire (2 matchs)",Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
1,Samedi 27 Juillet,HANDBALL,HBL04,14:00,17:30,Arena Paris Sud 6,"Hommes, tour préliminaire (2 matchs)",Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
1,Samedi 27 Juillet,HANDBALL,HBL04,19:00,22:30,Arena Paris Sud 6,"Hommes, tour préliminaire (2 matchs)",Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
1,Samedi 27 Juillet,HANDBALL,HBL07,09:00,12:30,Arena Paris Sud 6,"Femmes, tour préliminaire (2 matchs)",Arena Paris Sud 6 (Porte de Versailles),"48.829624, 2.290777","Site olympique,Site paralympique","Haltérophilie,Handball,Goalball",48.829624,2.290777,8000.0
